"system","code","display","count"
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I10.90",,3
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I25.2",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","E78.2",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","N18.2",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I34.0",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M79.69",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","E66.01",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M79.65",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","D70.18",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K35.2",,51
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I33.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","T86.10",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K85.11",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","N30.0",,3
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K29.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","N39.0",,4
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I21.4",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I21.0",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","N17.01",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","F10.1",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","F10.4",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K70.1",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K70.9",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","Z88.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","Z88.4",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","Z88.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","Z88.2",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I25.2",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I71.4",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","D61.10",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K35.30",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I10.91",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M13.19",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","E16.0",,3
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","J45.9",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I70.21",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","R07.3",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","E87.2",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","J15.9",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","C44.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","I10.00",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","F31.6",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K26.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","Z85.3",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","Z85.1",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","C50.3",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","J44.99",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","J44.19",,3
